TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-01 06:00:00,1.0,-19.7,-75.4,1.0,b'3386463502                      ',b'2zmv8hb',24.0,1.0
2025-04-01 12:00:00,1.0,-21.3,-75.0,1.0,b'3386585287                      ',b'2zmv8hb',22.9,1.0
2025-04-14 12:00:00,1.0,-19.4,-77.5,1.0,b'3392263307                      ',b'2zmv8hb',22.4,1.0
2025-04-19 18:00:00,1.0,3.4,-88.4,1.0,b'3394379598                      ',b'2zmv8hb',30.4,1.0
2025-04-21 12:00:00,1.0,10.4,-95.5,1.0,b'3395055695                      ',b'2zmv8hb',30.1,1.0
2025-04-22 00:00:00,1.0,12.5,-97.6,1.0,b'3395507990                      ',b'2zmv8hb',30.5,1.0
2025-04-22 12:00:00,1.0,14.6,-99.8,1.0,b'3395632796                      ',b'2zmv8hb',30.1,1.0
2025-04-23 00:00:00,1.0,16.9,-102.1,1.0,b'3395872460                      ',b'2zmv8hb',29.3,1.0
2025-04-24 00:00:00,1.0,18.7,-104.4,1.0,b'3396242182                      ',b'2zmv8hb',29.0,1.0
2025-04-24 12:00:00,1.0,18.7,-104.4,1.0,b'3396406550                      ',b'2zmv8hb',28.0,1.0
2025-04-25 00:00:00,1.0,18.9,-104.4,1.0,b'3396548840                      ',b'2zmv8hb',28.0,1.0
2025-04-28 00:00:00,1.0,20.2,-107.9,1.0,b'3397718562                      ',b'2zmv8hb',25.6,1.0
2025-04-29 00:00:00,1.0,23.0,-115.7,1.0,b'3398387526                      ',b'2zmv8hb',21.7,1.0
